MSGID,SYMBOL,ENUMNAME,LOCALE,MSGLOCALE,SYMBOLLOC,TEXT,TXTHASH,STATUS,SRC
24,SKIP_USAGE_TEXT,SkipUsageText,en-US,0000000024|en-US,SKIP_USAGE_TEXT|en-US,"Usage:
  SKIP
  SKIP USAGE
  SKIP <n>",a2557104ff537e86da47892a640509bc284572cabaec255a5e2657e13a6f3240,ACTIVE,src/help/helpdata_messages.cpp
25,TOP_USAGE_TEXT,TopUsageText,en-US,0000000025|en-US,TOP_USAGE_TEXT|en-US,"Usage:
  TOP
  TOP USAGE",829c6fa249bf0ada792b97143d0cc24dc4d61dbc717d4eb49b44039b88632022,ACTIVE,src/help/helpdata_messages.cpp
26,BOTTOM_USAGE_TEXT,BottomUsageText,en-US,0000000026|en-US,BOTTOM_USAGE_TEXT|en-US,"Usage:
  BOTTOM
  BOTTOM USAGE",3b8e374ba68ac309a604cc0091d656ab0f4336d998eaa9c351ad3c94bd61d8f9,ACTIVE,src/help/helpdata_messages.cpp
27,FIRST_USAGE_TEXT,FirstUsageText,en-US,0000000027|en-US,FIRST_USAGE_TEXT|en-US,"Usage:
  FIRST
  FIRST USAGE",9914bfb3d3a3f41ddb21cb044309a651e328b80f2ac5478884d221767e6dfa65,ACTIVE,src/help/helpdata_messages.cpp
28,LAST_USAGE_TEXT,LastUsageText,en-US,0000000028|en-US,LAST_USAGE_TEXT|en-US,"Usage:
  LAST
  LAST USAGE",d08879f5ed77de8eecc0ae60d4abbbaffceb602d7179f4b64dcf8a39bf1ef083,ACTIVE,src/help/helpdata_messages.cpp
29,NEXT_USAGE_TEXT,NextUsageText,en-US,0000000029|en-US,NEXT_USAGE_TEXT|en-US,"Usage:
  NEXT
  NEXT USAGE",16514aa09e25e47ceb0b8cb667c72b5de59f73d8f3ca7fbe4f958c26360eee17,ACTIVE,src/help/helpdata_messages.cpp
30,PRIOR_USAGE_TEXT,PriorUsageText,en-US,0000000030|en-US,PRIOR_USAGE_TEXT|en-US,"Usage:
  PRIOR
  PRIOR USAGE",47d73af9c55ceac53992db2a685de9836e0313000791e4c6e71ebf471655d19f,ACTIVE,src/help/helpdata_messages.cpp
31,BBOX_MESSAGING_LANE_TEXT,BBoxMessagingLaneText,en-US,0000000031|en-US,BBOX_MESSAGING_LANE_TEXT|en-US,"MESSAGING BLACKBOX
  DATA IN: hard-coded text, message IDs, message arguments, locale/language rows
  PROCESS: extract, catalog, localize, validate placeholders, replace source strings gradually
  OUT: x64base message catalog, localized runtime text, typed warnings/errors/status/help messages
  CONTROL: SET LANGUAGE / SET LOCALE selects message-rendering locale where supported.",d5af9f0ddb1eccc2dbfa764af491b9c0654ab87e5c42128c5d20a93ab7da5758,ACTIVE,src/help/helpdata_messages.cpp
32,MAINT_BOUNDARY_TEXT,MaintBoundaryText,en-US,0000000032|en-US,MAINT_BOUNDARY_TEXT|en-US,"MAINT BOUNDARY
  first-wave MAINT is inspection-only.
  It must not mutate:
    - source files
    - HELP DATA or raw HELP DBFs
    - CMDHELPCHK expectations
    - metadata catalogs
    - DBF/CDX/LMDB artifacts
    - runtime scripts
    - publications or media
  Mutation lanes require separate guarded packages and explicit authorization.",31f41ea6191223fc7ab6f57fb883bc9241a6c99104d3a3e270808a5c5667cd80,ACTIVE,src/help/helpdata_messages.cpp
33,DDICT_USAGE_TEXT,DDictUsageText,en-US,0000000033|en-US,DDICT_USAGE_TEXT|en-US,"Usage:
  DDICT
  DDICT HELP
  DDICT STATUS
  DDICT TABLES
  DDICT OBJECTS [TYPE <type>] [PROFILE <profile>]
  DDICT FIELDS <table>
  DDICT TAGS <table>
  DDICT REL <object-id-or-name> [IN|OUT|BOTH]
  DDICT EVIDENCE <object-id-or-name>
Notes:
  DDICT is read-only over the active Data Dictionary catalog.",6974b9f8936931c1d4091704cea24df1d2df369aeb5b27b571b3d93fccec12b0,ACTIVE,src/help/helpdata_messages.cpp
34,USE_MISSING_TABLE_NAME_TEXT,UseMissingTableNameText,en-US,0000000034|en-US,USE_MISSING_TABLE_NAME_TEXT|en-US,missing table name.,ce6fe455736ee7905eaa9f8e5aae6c460af0b983a5442f6808f4954c55c3e7c1,ACTIVE,src/help/helpdata_messages.cpp
35,USE_ALREADY_OPEN_CURRENT_AREA_TEXT,UseAlreadyOpenCurrentAreaText,en-US,0000000035|en-US,USE_ALREADY_OPEN_CURRENT_AREA_TEXT|en-US,'{file}' is already open in current area {area}.,db089d9c497c597d7ab0cfb22ee06d269f33844a6bb5860d6864244edbb820ad,ACTIVE,src/help/helpdata_messages.cpp
36,USE_ALREADY_OPEN_OTHER_AREA_TEXT,UseAlreadyOpenOtherAreaText,en-US,0000000036|en-US,USE_ALREADY_OPEN_OTHER_AREA_TEXT|en-US,"'{file}' is already open in area {area}. Close it first (e.g., SCHEMAS CLOSE {area}).",5c088669ffdb72fedde6ac801fbf49bba714ba627b6fd098cd5a79d2a677632f,ACTIVE,src/help/helpdata_messages.cpp
37,USE_OPEN_FAILED_WITH_REASON_TEXT,UseOpenFailedWithReasonText,en-US,0000000037|en-US,USE_OPEN_FAILED_WITH_REASON_TEXT|en-US,Open failed: {reason},97b2e753fb8ae4f5f12cbfb4bb010119f0275da5a89603295c7840a0c9245c92,ACTIVE,src/help/helpdata_messages.cpp
38,USE_OPEN_FAILED_TEXT,UseOpenFailedText,en-US,0000000038|en-US,USE_OPEN_FAILED_TEXT|en-US,Open failed.,5373899b92e8f3edb4c12f191b41f7eada3bfe1f9a36f08cb3b4dc2ba04b57ce,ACTIVE,src/help/helpdata_messages.cpp
39,USE_MEMO_ATTACH_FAILED_TEXT,UseMemoAttachFailedText,en-US,0000000039|en-US,USE_MEMO_ATTACH_FAILED_TEXT|en-US,memo attach failed: {reason},8101af920c8d2f1ce163f0c5d5613a7cb184cff29140daca829c78b21a196b3e,ACTIVE,src/help/helpdata_messages.cpp
40,USE_OPENED_SUMMARY_TEXT,UseOpenedSummaryText,en-US,0000000040|en-US,USE_OPENED_SUMMARY_TEXT|en-US,Opened {name} ({version}) : Record count {count},9d6a17b348caf2fa11a0255d8d718e297205764a6fa9f6c3ad19f69e5cdd8dd7,ACTIVE,src/help/helpdata_messages.cpp
41,USE_VALID_INDEXES_LINE_TEXT,UseValidIndexesLineText,en-US,0000000041|en-US,USE_VALID_INDEXES_LINE_TEXT|en-US,Valid Index/Indices   : {types},54ddb0dea596eb06e6739184c018b14f3434d353170eed50d0ebd7839076b13c,ACTIVE,src/help/helpdata_messages.cpp
42,USE_NOINDEX_SKIPPED_TEXT,UseNoIndexSkippedText,en-US,0000000042|en-US,USE_NOINDEX_SKIPPED_TEXT|en-US,NOINDEX: auto-attach skipped (physical order).,192a1ca30af164dce60fceac46dee222a1f57ed34a8e7fb6d48a4230a0b0bebb,ACTIVE,src/help/helpdata_messages.cpp
43,USE_AUTO_ATTACHED_ORDER_TAG_UNIQUE_TEXT,UseAutoAttachedOrderTagUniqueText,en-US,0000000043|en-US,USE_AUTO_ATTACHED_ORDER_TAG_UNIQUE_TEXT|en-US,Auto-attached order: {file} (tag: {tag} [UNIQUE]),13c262d85fa93b71461497754c1ca0fe23bdd69c4ab33b645bbd45f73f1e4ce8,ACTIVE,src/help/helpdata_messages.cpp
44,USE_AUTO_ATTACHED_ORDER_TAG_TEXT,UseAutoAttachedOrderTagText,en-US,0000000044|en-US,USE_AUTO_ATTACHED_ORDER_TAG_TEXT|en-US,Auto-attached order: {file} (tag: {tag}),2b5dac1e3462279bd5e8e2f399900da339f2f7126e49609300afe9ca4cccb05f,ACTIVE,src/help/helpdata_messages.cpp
45,USE_AUTO_ATTACHED_ORDER_TEXT,UseAutoAttachedOrderText,en-US,0000000045|en-US,USE_AUTO_ATTACHED_ORDER_TEXT|en-US,Auto-attached order: {file},41c2eb7d584fd470a976f3cf71497abc2ed54be79683db584e6290de59b40fe0,ACTIVE,src/help/helpdata_messages.cpp
46,NAV_NO_FILE_OPEN_TEXT,NavNoFileOpenText,en-US,0000000046|en-US,NAV_NO_FILE_OPEN_TEXT|en-US,no file open.,1695eeadfe0f2382a70e4d8f2799187e29845c4707c90328d8f61d373aaf37fb,ACTIVE,src/help/helpdata_messages.cpp
47,NAV_READ_CURRENT_FAILED_TEXT,NavReadCurrentFailedText,en-US,0000000047|en-US,NAV_READ_CURRENT_FAILED_TEXT|en-US,failed to read record.,6354eb3543d16f53a300df725886e522361e229d345d9f4a815c2a9b89314684,ACTIVE,src/help/helpdata_messages.cpp
48,NAV_AT_TOP_TEXT,NavAtTopText,en-US,0000000048|en-US,NAV_AT_TOP_TEXT|en-US,at top.,047adbfd540a31875a1c21c43fa6c74be1a67f669cc6ae096101b66658e6acdb,ACTIVE,src/help/helpdata_messages.cpp
49,NAV_AT_END_TEXT,NavAtEndText,en-US,0000000049|en-US,NAV_AT_END_TEXT|en-US,at end.,47ecf1ceb91edacca7acfc460cb6c4fef8f52dd7b7840c7583389994608a5945,ACTIVE,src/help/helpdata_messages.cpp
50,NAV_FAILED_TEXT,NavFailedText,en-US,0000000050|en-US,NAV_FAILED_TEXT|en-US,failed.,2a559fcf5764e8e58ad38b674d25b523a87b44dacbbbce04e7fdfe407ff04926,ACTIVE,src/help/helpdata_messages.cpp
51,NAV_RECNO_LINE,NavRecnoLine,en-US,0000000051|en-US,NAV_RECNO_LINE|en-US,Recno: {recno},623379acfcb250730a5f7f89c6b50e72de4a7d6823e06e0e406c40b2b1239f65,ACTIVE,src/help/helpdata_messages.cpp
52,NO_OPEN_TABLE,NoOpenTable,de,0000000052|de,NO_OPEN_TABLE|de,Derzeit ist keine Tabelle geoeffnet.,a485eb90aa76e6e61831a441033edc2685c921339ea6bd890bd17a9497952c71,ACTIVE,src/help/helpdata_messages.cpp
52,NO_OPEN_TABLE,NoOpenTable,en-US,0000000052|en-US,NO_OPEN_TABLE|en-US,No table is currently open.,e403e81d3d904c2066c40e79faa146dfaf2a9a2f732a8133376b5f3a20980ec3,ACTIVE,src/help/helpdata_messages.cpp
52,NO_OPEN_TABLE,NoOpenTable,es,0000000052|es,NO_OPEN_TABLE|es,No hay ninguna tabla abierta actualmente.,ae82c01fd42386d3cb09072d1aaf6f3c8f6d63f681776dc49613f49e4219ccdf,ACTIVE,src/help/helpdata_messages.cpp
52,NO_OPEN_TABLE,NoOpenTable,fr,0000000052|fr,NO_OPEN_TABLE|fr,Aucune table n'est actuellement ouverte.,488041264c914c88e3b22b8e673347ff0d855521b52772b7ffae605c552af19d,ACTIVE,src/help/helpdata_messages.cpp
52,NO_OPEN_TABLE,NoOpenTable,it,0000000052|it,NO_OPEN_TABLE|it,Nessuna tabella e' attualmente aperta.,9c9a8155fe61543aa913bfafdf9ca368ac459b75cd6d5e6597d86ac8c88e6538,ACTIVE,src/help/helpdata_messages.cpp
53,GO_EXPECTED_POSITIVE_RECORD_NUMBER_TEXT,GoExpectedPositiveRecordNumberText,en-US,0000000053|en-US,GO_EXPECTED_POSITIVE_RECORD_NUMBER_TEXT|en-US,expected a positive record number,f1d404d4e57978ebfd1d44e5ce271dc8370d107d33db5b094cbc73156227a3ca,ACTIVE,src/help/helpdata_messages.cpp
54,GO_AREA_QUALIFIER_NOT_SUPPORTED_YET_TEXT,GoAreaQualifierNotSupportedYetText,en-US,0000000054|en-US,GO_AREA_QUALIFIER_NOT_SUPPORTED_YET_TEXT|en-US,"'IN <alias>' not supported yet (SELECT the area, then GO ...)",a130da0b64788aae206dc8b5a3895e8efbac22354d19adb2b1fc2a6c2896380b,ACTIVE,src/help/helpdata_messages.cpp
55,GO_UNRECOGNIZED_COMMAND_FORM_TEXT,GoUnrecognizedCommandFormText,en-US,0000000055|en-US,GO_UNRECOGNIZED_COMMAND_FORM_TEXT|en-US,unrecognized form,8a3dc10026cfcc555fd077d53715689728002a2f31cfa564ee07ff71a870435c,ACTIVE,src/help/helpdata_messages.cpp
56,HELP_HINT_COMMAND,HelpHintCommand,de,0000000056|de,HELP_HINT_COMMAND|de,"Geben Sie HELP {command} ein, um weitere Informationen zu erhalten.",4b9dbbf15b03ed34b076519835fd6431bfa32b0b48f53b12f2530ee1d0f60071,ACTIVE,src/help/helpdata_messages.cpp
56,HELP_HINT_COMMAND,HelpHintCommand,en-US,0000000056|en-US,HELP_HINT_COMMAND|en-US,Type HELP {command} for more information.,7b119899bff4eaa93ac2b2aaf1b532311dea8541c3c5ac583b118ab94d963f46,ACTIVE,src/help/helpdata_messages.cpp
56,HELP_HINT_COMMAND,HelpHintCommand,es,0000000056|es,HELP_HINT_COMMAND|es,Escriba HELP {command} para obtener mas informacion.,61fbaf68bd7206827d6813ffe590e7c67eea89927fbb3006560aa0aa75f48e72,ACTIVE,src/help/helpdata_messages.cpp
56,HELP_HINT_COMMAND,HelpHintCommand,fr,0000000056|fr,HELP_HINT_COMMAND|fr,Tapez HELP {command} pour plus d'informations.,db245fd5c9a063e3b8010aa107db35e1ccb0ed0903c4053c72a72ba3809a58bc,ACTIVE,src/help/helpdata_messages.cpp
56,HELP_HINT_COMMAND,HelpHintCommand,it,0000000056|it,HELP_HINT_COMMAND|it,Digitare HELP {command} per ulteriori informazioni.,6bab77666d0455054799019fd7f282cb8d12997d9c206f36f5bf7055bd48e5e1,ACTIVE,src/help/helpdata_messages.cpp
57,MESSAGE_ROUTING_PROOF_LINE,MessageRoutingProofLine,en-US,0000000057|en-US,MESSAGE_ROUTING_PROOF_LINE|en-US,Message routing proof: {provider} {symbol},641beeda0fbbf488fab6b8348331a2d4b707787c32c1606d1909283a7970a1bd,ACTIVE,src/help/helpdata_messages.cpp
58,MESSAGE_LOCALE_SET,MessageLocaleSet,de,0000000058|de,MESSAGE_LOCALE_SET|de,Nachrichten-Sprache: {locale},3f4edd7180631093c5cf81e57f75af8d9300ba189a67c0a3dadad06dac394649,ACTIVE,src/help/helpdata_messages.cpp
58,MESSAGE_LOCALE_SET,MessageLocaleSet,en-US,0000000058|en-US,MESSAGE_LOCALE_SET|en-US,Message locale is {locale},3cb23ae4bed79401ddabdc4d28ca1cd3cd4dde7bc418c1d7188412e44bf9562d,ACTIVE,src/help/helpdata_messages.cpp
58,MESSAGE_LOCALE_SET,MessageLocaleSet,es,0000000058|es,MESSAGE_LOCALE_SET|es,Idioma de mensajes: {locale},459f5d805b0f228298eecd3d2598b4697d53a7d5a31dc7a6a091033e86fc5ca1,ACTIVE,src/help/helpdata_messages.cpp
58,MESSAGE_LOCALE_SET,MessageLocaleSet,fr,0000000058|fr,MESSAGE_LOCALE_SET|fr,Langue des messages : {locale},9c20ab4a2b1b240fa4356c3c2aebd0047f52650a7b3301184f348e6dede1c2bd,ACTIVE,src/help/helpdata_messages.cpp
58,MESSAGE_LOCALE_SET,MessageLocaleSet,it,0000000058|it,MESSAGE_LOCALE_SET|it,Lingua dei messaggi: {locale},cf2f8ce4ee55cb9a9ea75ac9af0c4483ab94bf4e4dcc7344548cc2b8027aa49d,ACTIVE,src/help/helpdata_messages.cpp
59,SET_MESSAGE_CATALOG_VALIDATION_GREEN_LABEL,SetMessageCatalogValidationGreenLabel,en-US,0000000059|en-US,SET_MESSAGE_CATALOG_VALIDATION_GREEN_LABEL|en-US,green,ba4788b226aa8dc2e6dc74248bb9f618cfa8c959e0c26c147be48f6839a0b088,ACTIVE,src/help/helpdata_messages.cpp
60,SET_MESSAGE_CATALOG_VALIDATION_ISSUES_FOUND_LABEL,SetMessageCatalogValidationIssuesFoundLabel,en-US,0000000060|en-US,SET_MESSAGE_CATALOG_VALIDATION_ISSUES_FOUND_LABEL|en-US,issues found,48056ece8dc5ef27a1ad2f4bbe0f145808498ed2db4812f2f4b0c297d1380c8d,ACTIVE,src/help/helpdata_messages.cpp
61,SET_MESSAGE_CATALOG_VALIDATION_STATUS_TEXT,SetMessageCatalogValidationStatusText,en-US,0000000061|en-US,SET_MESSAGE_CATALOG_VALIDATION_STATUS_TEXT|en-US,"Message catalog validation: {status}
  messages: {message_count}
  text rows: {text_row_count}
  locales: {locales}
  issues: {issue_count}
  boundary: report-only; no DBF, HELP DATA, CMDHELPCHK, source-mining, or catalog mutation.",3b00663a16509e04fcb05e14fc966895e007678d3ad4e8ba4bbdd632a1ece55a,ACTIVE,src/help/helpdata_messages.cpp
62,SET_LANGUAGE_STATUS_TEXT,SetLanguageStatusText,en-US,0000000062|en-US,SET_LANGUAGE_STATUS_TEXT|en-US,"Message locale: {locale}
Supported message locales: en-US, es, fr, de, it
Usage: SET LANGUAGE [TO] <en-US|es|fr|de|it|DEFAULT>
       SET LOCALE   [TO] <en-US|es|fr|de|it|DEFAULT>
       SET LANGUAGE CHECK
       SET LOCALE CHECK
       SET LANGUAGE REPORT [locale]
       SET LOCALE REPORT [locale]",d305585f8ae407c3649fe76cef237e2829f99e0c63382dfba3a4e9b5bce6248e,ACTIVE,src/help/helpdata_messages.cpp
63,SET_MESSAGE_CATALOG_PROVIDER_STATUS_TEXT,SetMessageCatalogProviderStatusText,en-US,0000000063|en-US,SET_MESSAGE_CATALOG_PROVIDER_STATUS_TEXT|en-US,"Message catalog provider status:
  mode: {mode}
  active catalog present: {present}
  active catalog loaded: {loaded}
  message count: {message_count}
  text row count: {text_row_count}
  active dbf dir: {dbf_dir}
  active indexes dir: {indexes_dir}
  active lmdb dir: {lmdb_dir}
  detail: {detail}
  boundary: read-only status/load; no DBF/CDX/LMDB mutation; no runtime writeback",49dc1b8d32364996290b80bccdcc7c5df819e6a61a50aa11296377fec03afeae,ACTIVE,src/help/helpdata_messages.cpp
64,SET_LANGUAGE_ACTIVE_MESSAGE_EMISSION_TEXT,SetLanguageActiveMessageEmissionText,en-US,0000000064|en-US,SET_LANGUAGE_ACTIVE_MESSAGE_EMISSION_TEXT|en-US,"SET LANGUAGE active message emission:
  current locale: {locale}
  provider mode: {mode}
  active catalog loaded: {loaded}
  symbol: HELP_HINT_COMMAND
  fallback locale: en-US
  text: {text}
  boundary: read-only emission; no DBF/CDX/LMDB mutation; no runtime writeback",8968d6985c083d61506e7336072e508c7d0a8f8b4525e73e87d968892acbf790,ACTIVE,src/help/helpdata_messages.cpp
65,SET_LANGUAGE_ACTIVE_CATALOG_CHECK_TEXT,SetLanguageActiveCatalogCheckText,en-US,0000000065|en-US,SET_LANGUAGE_ACTIVE_CATALOG_CHECK_TEXT|en-US,"SET LANGUAGE active catalog check:
  current language: {locale}
  message catalog mode: {mode}
  active catalog present: {present}
  active catalog loaded: {loaded}
  message count: {message_count}
  text row count: {text_row_count}
  lookup symbol: MESSAGE_LOCALE_SET
  lookup locale: {locale}
  lookup text: {text}
  runtime active catalog lookup proof: {proof}
  boundary: read-only lookup; no DBF/CDX/LMDB mutation; no runtime writeback",07e70dd438e235b96b4485d260283c72fd5570ce2f86370fe33a2821ae1b8319,ACTIVE,src/help/helpdata_messages.cpp
66,SET_MESSAGE_EMIT_STATUS_TEXT,SetMessageEmitStatusText,en-US,0000000066|en-US,SET_MESSAGE_EMIT_STATUS_TEXT|en-US,"SET MESSAGE EMIT:
  current locale: {current_locale}
  provider mode: {mode}
  active catalog present: {present}
  active catalog loaded: {loaded}
  message count: {message_count}
  text row count: {text_row_count}
  symbol: {symbol}
  locale: {locale}
  placeholder arg supplied: {placeholder_arg}
  placeholder substitution proof: {substituted}
  text: {text}
  runtime controlled emission proof: {proof}
  boundary: explicit diagnostic emission; no DBF/CDX/LMDB mutation; no runtime writeback",97e319b8a70455c0a1264d5a0b375cf5095842779eec69ef07f545672a5c4078,ACTIVE,src/help/helpdata_messages.cpp
67,SET_MESSAGE_CATALOG_REPORT_HEADER_TEXT,SetMessageCatalogReportHeaderText,en-US,0000000067|en-US,SET_MESSAGE_CATALOG_REPORT_HEADER_TEXT|en-US,"Message catalog report: report-only
  schema intent: SYSTEM_MESSAGES + SYSTEM_MESSAGE_TEXT
  messages: {message_count}
  text rows: {text_row_count}
  locales: {locales}
  validation issues: {issue_count}
  boundary: report-only console report; no DBF, HELP DATA, CMDHELPCHK, source-mining, file, or catalog mutation.",e0eedcae2fec6e16577d07d937059065d9efe68fe46f580dbae9fe6aff72e0ab,ACTIVE,src/help/helpdata_messages.cpp
68,SET_MESSAGE_CATALOG_REPORT_LOCALE_FILTER_LINE,SetMessageCatalogReportLocaleFilterLine,en-US,0000000068|en-US,SET_MESSAGE_CATALOG_REPORT_LOCALE_FILTER_LINE|en-US,  locale filter: {locale},5646b980b0957e8cebacd19c2862ffcf6ac98e7134036d844af3f4927d0a2555,ACTIVE,src/help/helpdata_messages.cpp
69,SET_MESSAGE_CATALOG_REPORT_SYSTEM_MESSAGES_TITLE,SetMessageCatalogReportSystemMessagesTitle,en-US,0000000069|en-US,SET_MESSAGE_CATALOG_REPORT_SYSTEM_MESSAGES_TITLE|en-US,SYSTEM_MESSAGES preview:,bba768fbfd7b5086d830c008c27dc2dc2163dcaf569c19088d42dca48039ec0c,ACTIVE,src/help/helpdata_messages.cpp
70,SET_MESSAGE_CATALOG_REPORT_MESSAGE_ROW,SetMessageCatalogReportMessageRow,en-US,0000000070|en-US,SET_MESSAGE_CATALOG_REPORT_MESSAGE_ROW|en-US,  {key} | owner={owner} | category={category} | severity={severity},40bc868f9c7d0e264857f87c25043da845d04a179b3235bf279b0ade6f655974,ACTIVE,src/help/helpdata_messages.cpp
71,SET_MESSAGE_CATALOG_REPORT_SYSTEM_MESSAGE_TEXT_TITLE,SetMessageCatalogReportSystemMessageTextTitle,en-US,0000000071|en-US,SET_MESSAGE_CATALOG_REPORT_SYSTEM_MESSAGE_TEXT_TITLE|en-US,SYSTEM_MESSAGE_TEXT preview:,b0ffbd880e9b86cc41ce6ae05dc32e658ede9913af8f1dde7129d0ce685eb582,ACTIVE,src/help/helpdata_messages.cpp
