anchor_id,section,layer,layer_label,evidence_paths,manual_targets,state,next_closure_action
ANCHOR-X64BASE-README,core,project_positioning,Project positioning,x64base/README.md; x64base/README_NEW.md; attached README harvest text,What DotTalk++ Is; History; Educational Purpose; Design Philosophy; Working Model; Current Status Snapshot,observed,Keep overview prose curated and reader-facing; verify volatile status claims before release.
ANCHOR-CURSOR-WORKAREAS,core,runtime_state,Runtime state,src/cli/workareas.hpp; src/cli/cmd_recno.cpp; src/browser/browser_builders.cpp; cursor/status messages,Work Areas and Cursor Control,observed,"Add proof scripts for `RECNO`, `GOTO`, `SKIP`, current-area selection, and cursor restoration."
ANCHOR-LOCKING,core,concurrency,Concurrency,src/cli/cmd_lock.cpp; src/cli/cmd_unlock.cpp; include/xbase_locks.hpp; lock help messages,Record and Table Locking,observed,"Add runtime proof for record lock, table lock, status, ownership, failed mutation under lock, and unlock."
ANCHOR-TABLE-BUFFER,core,buffering,Buffering,src/cli/table_buffer.cpp; include/cli/table_state.hpp; include/cli/table_write.hpp; table-buffer help messages,Table Buffering,observed,"Add proof scripts for buffer on/off, dirty/clean/stale/fresh, buffered `REPLACE`, `COMMIT`, and `ROLLBACK`."
ANCHOR-COMMIT-ROLLBACK,core,transaction_lifecycle,Transaction-like lifecycle,src/cli/cmd_commit.cpp; src/cli/cmd_rollback.cpp; src/cli/table_state.cpp,Commit and Rollback,observed,Promote current RAM-buffer semantics; mark persistent journal hooks as future/stub until proven.
ANCHOR-SQLSEL-SURFACE,spine,source_usage_contracts,Source usage contracts,docs/manuals/user/sqlsel.md; docs/manuals/assimilation/sqlsel-state-of-the-surface.md; src/cli/sqlsel_statement.hpp; src/cli/sqlsel_statement.cpp; src/cli/cmd_sql_help.cpp,SQLsel: typed SQL over x64base work areas; SQL conformance boundary,observed,Bind the user chapter to the SQLite oracle transcripts; state which SELECT clauses are refused rather than unimplemented.
ANCHOR-WORKSPACES-MINIDB,spine,runtime_state,Runtime state,docs/manuals/user/workspaces-and-minidbs.md; src/cli/cmd_workspace.cpp; src/workspace/schema_workspace.cpp; include/xbase/workspace_membership.hpp,Workspaces and MiniDBs; Workspace catalog and durable identity,observed,Reconcile the chapter against the full WORKSPACE verb list; the June command guide lists six of twenty-one.
ANCHOR-BUILD-SYSTEM,spine,build_toolchain,Build/toolchain,docs/manuals/developer/dev/dev-21-build-system.md; CMakePresets.json; CMakeLists.txt; build.ps1; BUILDING.md; vcpkg.json,Build System; Getting Started: Installation,observed,Bind the chapter's measured landmines to preset names; re-verify platform status each release.
ANCHOR-UIDEF-LANGUAGE,spine,ui_contract,UI contract,docs/manuals/developer/dev/dev-22-uidef-gui-language.md; gui/uidef/; src/cli/app_gui.cpp,The UIDEF GUI Language; Application UI DSL lane,observed,"Resolve section 17 of the chapter, where the chapter and the v1 contract disagree out loud."
ANCHOR-DOTSCRIPT,spine,script_surface,Script surface,docs/manuals/developer/dev/dev-06-dotscript.md; DOTSCRIPT_README_TESTING.md; samples/,DotScript; DotScript Language Guide,deferred,dev-06 is 543 bytes against a published language-guide page; harvest the script grammar before promotion.
ANCHOR-EXPRESSION-FUNCTIONS,spine,expression_engine,Expression engine,docs/manuals/developer/dev/dev-11-expression-engine.md; src/cli/expr/; SYSFUNC_IMPORT_v1.csv; docs/manuals/developer/manualgen/harvested/META_SYSFUNC.csv,Expression Engine; Function Catalog,observed,Join SYSFUNC rows to proof state; AIF-117 is open against the bare-predicate path and must be cited as a caveat.
ANCHOR-RELATIONS-ERSATZ,spine,relational_traversal,Relational traversal,docs/manuals/developer/dev/dev-12-relations-workspaces-and-tuple-traversal.md; src/cli/set_relations.cpp; src/xbase/relation_wire.cpp; src/browser/browser_relation_adapter.cpp,"Relations, Workspaces, and Tuple Traversal; RelTalk",observed,Promote the Cascade double-milestone transcripts where SET RELATION and SQLsel agreed on one 34-table graph.
ANCHOR-TUPLE-PROJECTION,spine,projection_surface,Projection surface,src/cli/cmd_tuple.hpp; src/cli/tuple_types.hpp; src/cli/db_tuple_stream.cpp,"TupTalk; Tuple projections, export, and validation",observed,"Add proof scripts for projection, export, and relation-aware row output before reader promotion."
ANCHOR-BROWSERS-WORKBENCH,spine,front_end,Front end,docs/manuals/developer/dev/dev-13-browsers-and-tui.md; src/browser/; src/tv/; src/gui/wx/,Browsers and TUI; Arctic TUI; Parallel GUI/TUI,observed,"Keep the open-architecture rule visible: the runtime owns truth, the front ends consume it."
ANCHOR-REGRESSION-SUITE,spine,validation,Validation,docs/manuals/developer/dev/dev-16-smoke-tests-and-canaries.md; src/cli/cmd_regression.cpp; site:scripts/engine-capabilities-v1.json,Smoke Tests and Canaries; Regression and Proof Testing,observed,kRegressionSpecs is the capability authority the website sweep already consumes; bind the manual to the same list.
ANCHOR-PYTHON-BINDINGS,spine,binding_surface,Binding surface,bindings/pydottalk/; pycrud/; build_pydottalk.ps1,"Python Integration; pydottalk, pydottalk_api, pycrud",observed,Separate proven binding calls from development possibilities; the published page already makes that split.
ANCHOR-EXTERNAL-REFERENCES,spine,reference_catalog,Reference catalog,docs/manuals/developer/dev/dev-23-external-references.md; include/dotref.hpp; include/foxref.hpp,External References; Reference-header policy,drift,The file is dev-23 and its own H1 still reads DEV-19; repair the heading before this anchor leaves drift.
ANCHOR-DATA-MUTATORS,spine,mutation_surface,Mutation surface,src/cli/cmd_replace.cpp; src/cli/cmd_replace_multi.cpp; src/cli/cmd_calc.cpp; src/cli/cmd_calcwrite.cpp,"Data Mutators; REPLACE, CALC, CALCWRITE, MULTIREP",observed,Carry AIF-117's F1 finding as a caveat: a REPLACE whose right-hand side fails stores blank and reports success.
ANCHOR-PRIMARY-KEYS,website,key_policy,Key policy,src/cli/unique_registry.cpp; src/cli/cmd_setunique.cpp; src/xbase/x64_field_meta.cpp; site:content/docs/engine/primary-keys.mdx,"Primary Keys: policy, proof, and boundary",deferred,The site states generate/reserve/refuse with a named spec for each; the manual has no primary-key section at all.
ANCHOR-ERROR-IDENTITY,website,error_contract,Error contract,src/cli/xbase_error_codes.cpp; src/cli/cmd_error_status.cpp; src/cli/help_errors.hpp; site:content/docs/engine/error-codes.mdx,"Error Codes; Severity, facility, and code",deferred,HRESULT-style error identity is published and unmentioned in the manual; harvest the code table from source.
ANCHOR-IDENTITY-RBAC,website,security,Security,src/identity/identity_dbf_store.cpp; src/identity/identity_admin.cpp; src/identity/identity_bootstrap.cpp; site:content/docs/engine/identity-security.mdx,"Identity, Authentication, and RBAC",deferred,"USER store, sessions, roles, and owner-gated administration are published; no manual chapter exists."
ANCHOR-MESSAGING-LOCALE,website,messaging,Messaging,src/cli/message_catalog.cpp; src/help/locale_spine_catalog.cpp; src/cli/cmd_msgmgr.cpp; site:content/docs/engine/messaging-and-localization.mdx,Messaging and Localization,deferred,The locale spine was promoted and announced; the manual spine never gained a chapter for it.
ANCHOR-INMEMORY-VDISK,website,storage_substrate,Storage substrate,src/cli/cmd_vdisk.cpp; src/cli/vdisk_config.cpp; include/cli/vdisk_config.hpp; site:content/docs/engine/in-memory-databases.mdx; site:content/docs/engine/ram-dbf-vdisk.mdx,In-Memory Databases; RAM DBF and VDISK,deferred,"Two published pages, no manual section; bind lifetime and visibility rules to the VDISK source before promotion."
ANCHOR-ENGINE-API,website,api_boundary,API boundary,include/xbase.hpp; include/xbase_64.hpp; include/xbase_vfp.hpp; site:content/docs/engine/api-reference.mdx,Open Engine API Reference,deferred,The site publishes public API boundaries; decide whether this is its own chapter or an appendix to the trinity anchor.
ANCHOR-BENCHMARKS,website,performance,Performance,src/cli/cmd_regression.cpp; src/cli/db_tuple_stream.hpp; site:content/docs/engine/pinocchio-benchmarks.mdx,Pinocchio Engine Benchmarks,deferred,The published page already states its evidence limits and machine-identity rules; do not promote numbers without a rerun.
ANCHOR-ECOSYSTEM-POSITION,website,positioning,Positioning,site:content/docs/engine/xbase-ecosystem-context.mdx; site:content/docs/engine/ecosystem-feature-comparison.mdx; README.md,xBase Ecosystem Context; Feature comparison,deferred,Comparison claims about other products age fastest of anything published; date them or keep them off the manual.
ANCHOR-ACID-BOUNDARY,website,durability,Durability,include/xbase/durable.hpp; src/cli/cmd_commit.cpp; src/cli/cmd_rollback.cpp; site:content/docs/engine/acid-and-glass-box.mdx,ACID and the Glass-Box Engine,deferred,"Consumer of ANCHOR-COMMIT-ROLLBACK; durable.hpp names the compaction gap itself, which belongs in the caveat."
ANCHOR-DBF-PATH-POLICY,website,path_policy,Path policy,DOTTALKPP_DBF_PATH_POLICY.md; src/cli/cmd_setpath.cpp; config/,Path policy and the sys layout,deferred,Owner-flagged 2026-09-14: the website describes paths but never references the current sys layout. No page owns this yet.
ANCHOR-NAMING-CONVENTIONS,website,house_convention,House convention,include/conventions.hpp; docs/manuals/developer/dev/dev-17-contributor-rules.md; site:content/docs/dev/naming-conventions.mdx,Naming Conventions,deferred,Published as a site page with no manual counterpart; fold into the contributor chapter or give it its own.
ANCHOR-COINED-VOCABULARY,website,glossary,Glossary,labtalk/ai_portal/AI_GLOSSARY_V1.md; site:content/docs/dev/coined-vocabulary.mdx; site:content/docs/dev/coined-vocabulary-index.mdx,Coined Vocabulary; Global glossary,observed,The developer README already names this the global glossary for all manuals; it has never had an anchor.
ANCHOR-AI-PORTAL,website,agent_interface,Agent interface,AI_PORTAL.md; AI_README.md; docs/ai-friendly/; site:content/portal/schemas.mdx,AI Portal; Registered schemas and identity crosswalk,deferred,Nineteen registered schemas are published; decide whether the portal belongs in the developer manual or stays external.
ANCHOR-FRONTAL-MEMORY,website,research_lane,Research lane,site:content/memory/overview.mdx; site:content/memory/roadmap.mdx; site:content/memory/team-model.mdx,Frontal Memory,deferred,Three published pages with no source lane and no manual section; confirm this is a thesis surface before anchoring deeper.
